date,season,neutral,playoff,team1,team2,elo1,elo2,elo_prob1,score1,score2,result1
1923-11-11,1923,0,0,COL,TOL,1410.937,1515.205,0.443728207978204,16,0,1
1923-11-11,1923,0,0,ARI,HAM,1595.392,1416.437,0.802868174754264,6,0,1
1923-11-11,1923,0,0,BFF,CBD,1553.837,1713.901,0.366506757613889,3,3,0.5
1923-11-18,1923,0,0,ARI,DUL,1602.298,1387.156,0.833775789057775,10,0,1
1923-11-18,1923,0,0,BFF,DAY,1557.909,1458.631,0.72024156917925,3,0,1
1923-11-18,1923,0,0,CBD,OOR,1709.83,1290.602,0.941993343446732,41,0,1
1923-11-18,1923,0,0,CIB,COL,1362.29,1443.03,0.477363803165086,9,3,1
1923-11-18,1923,0,0,CHI,RII,1626.162,1530.4,0.716145273570842,7,3,1
1923-11-18,1923,0,0,MIL,GB,1458.54,1513.702,0.514154237345723,7,10,0
1923-11-24,1923,0,0,RCH,TOL,1407.881,1483.111,0.485282099628186,6,12,0
1923-11-24,1923,0,0,SLA,MIL,1296.689,1444.221,0.383411655421264,0,17,0
1923-11-25,1923,0,0,CHI,HAM,1634.677,1409.531,0.841604435604772,14,7,1
1923-11-25,1923,0,0,GB,DUL,1528.022,1380.084,0.773077308525165,10,0,1
1923-11-25,1923,0,0,RII,MNN,1521.885,1425.711,0.716627140806179,6,6,0.5
1923-11-25,1923,0,0,COL,OOR,1422.544,1287.048,0.760267705111661,27,3,1
1923-11-25,1923,0,0,ARI,RAC,1609.37,1455.227,0.779282240504166,4,10,0
1923-11-25,1923,0,0,BFF,TOL,1565.126,1501.91,0.67657381120887,3,3,0.5
1923-11-25,1923,0,0,CIB,CBD,1382.776,1713.384,0.178145527308223,10,46,0
1923-11-29,1923,0,0,CBD,TOL,1724.863,1507.295,0.835702264076883,28,0,1
1923-11-29,1923,0,0,AKR,BFF,1438.618,1559.741,0.419927758316731,2,0,1
1923-11-29,1923,0,0,CHI,ARI,1640.497,1575.686,0.678579669218796,3,0,1
1923-11-29,1923,0,0,GB,HAM,1537.944,1403.711,0.758940088155197,19,0,1
1923-11-29,1923,0,0,RAC,MIL,1488.911,1465.583,0.624444652182243,0,16,0
