date,season,neutral,playoff,team1,team2,elo1,elo2,score1,score2,elo_prob1,result1
1923-11-11,1923,0,0,COL,TOL,1410.937,1515.205,16,0,0.5819598341092715,1.0
1923-11-11,1923,0,0,ARI,HAM,1595.392,1416.437,6,0,0.648302019544423,1.0
1923-11-11,1923,0,0,BFF,CBD,1553.837,1713.901,3,3,0.5442318603884536,0.5
1923-11-18,1923,0,0,ARI,DUL,1602.298,1387.156,10,0,0.8200654839755755,1.0
1923-11-18,1923,0,0,BFF,DAY,1557.909,1458.631,3,0,0.5589580705583542,1.0
1923-11-18,1923,0,0,CBD,OOR,1709.83,1290.602,41,0,0.8200966027382277,1.0
1923-11-18,1923,0,0,CIB,COL,1362.29,1443.03,9,3,0.27273871166064884,1.0
1923-11-18,1923,0,0,CHI,RII,1626.162,1530.4,7,3,0.389441528698304,1.0
1923-11-18,1923,0,0,MIL,GB,1458.54,1513.702,7,10,0.4195548168525517,0.0
1923-11-24,1923,0,0,RCH,TOL,1407.881,1483.111,6,12,0.6117041545531161,0.0
1923-11-24,1923,0,0,SLA,MIL,1296.689,1444.221,0,17,0.5977163672993895,0.0
1923-11-25,1923,0,0,CHI,HAM,1634.677,1409.531,14,7,0.5213440111575052,1.0
1923-11-25,1923,0,0,GB,DUL,1528.022,1380.084,10,0,0.7494527887961541,1.0
1923-11-25,1923,0,0,RII,MNN,1521.885,1425.711,6,6,0.5523129311337514,0.5
1923-11-25,1923,0,0,COL,OOR,1422.544,1287.048,27,3,0.8228576601888825,1.0
1923-11-25,1923,0,0,ARI,RAC,1609.37,1455.227,4,10,0.6106205971725733,0.0
1923-11-25,1923,0,0,BFF,TOL,1565.126,1501.91,3,3,0.5566977211558028,0.5
1923-11-25,1923,0,0,CIB,CBD,1382.776,1713.384,10,46,0.3212411658708005,0.0
1923-11-29,1923,0,0,CBD,TOL,1724.863,1507.295,28,0,0.625375444789218,1.0
1923-11-29,1923,0,0,AKR,BFF,1438.618,1559.741,2,0,0.6049612231310106,1.0
1923-11-29,1923,0,0,CHI,ARI,1640.497,1575.686,3,0,0.4664289104379523,1.0
1923-11-29,1923,0,0,GB,HAM,1537.944,1403.711,19,0,0.6159796446081013,1.0
1923-11-29,1923,0,0,RAC,MIL,1488.911,1465.583,0,16,0.8090428584133141,0.0
1923-12-01,1923,0,0,RCH,BFF,1389.082,1546.662,0,13,0.5824517732636122,0.0
1923-12-02,1923,0,0,CHI,MIL,1648.912,1502.447,0,0,0.6466315909672422,0.5
1923-12-02,1923,0,0,COL,DAY,1436.688,1451.414,30,3,0.6184654145496794,1.0
1923-12-02,1923,0,0,ARI,OOR,1567.271,1272.903,22,19,0.8117163278057101,1.0
1923-12-02,1923,0,0,RAC,MNN,1452.047,1432.318,23,0,0.5248170258859183,1.0
1923-12-02,1923,0,0,CBD,BFF,1734.669,1565.394,14,0,0.6551173320219421,1.0
1923-12-09,1923,0,0,ARI,MIL,1569.945,1510.73,12,14,0.7108786601440595,0.0
1923-12-09,1923,0,0,LOU,OOR,1371.093,1270.23,0,19,0.7577610905129336,0.0
1923-12-09,1923,0,0,CHI,RII,1640.629,1515.278,29,7,0.4915467602733853,1.0
1923-12-09,1923,0,0,COL,CBD,1464.584,1744.757,0,10,0.5111493292623998,0.0
1924-09-27,1924,0,0,FYJ,RCH,1413.889,1415.234,21,0,0.5065776155548992,1.0
1924-09-28,1924,0,0,RII,CHI,1502.212,1605.059,0,0,0.581772721393648,0.5
1924-09-28,1924,0,0,DUL,GB,1415.108,1535.792,6,3,0.41471039655534375,1.0
1924-09-28,1924,0,0,RAC,HAM,1485.22,1428.645,10,0,0.6763374145691978,1.0
1924-09-28,1924,0,0,ARI,MIL,1537.871,1519.245,17,7,0.6411660790370652,1.0
1924-10-04,1924,0,0,FYJ,KEN,1438.487,1300,31,6,0.7615049483133117,1.0
1924-10-05,1924,0,0,MNN,DUL,1441.023,1431.591,0,3,0.7272078776873946,0.0
1924-10-05,1924,0,0,CIB,CHI,1415.865,1603.405,16,14,0.4440647808271736,1.0
1924-10-05,1924,0,0,RCH,AKR,1390.636,1469.465,0,3,0.4777598180609319,0.0
1924-10-05,1924,0,0,BFF,COL,1538.537,1471.513,13,0,0.5679039135477674,1.0
1924-10-05,1924,0,0,RII,RAC,1503.867,1500.302,9,0,0.5146621907606971,1.0
1924-10-05,1924,0,0,MIL,KCB,1501.599,1300,3,0,0.731834026740414,1.0
1924-10-05,1924,0,0,ARI,GB,1555.517,1519.309,3,0,0.6308486074266061,1.0
1924-10-05,1924,0,0,DAY,FYJ,1450.678,1452.599,19,7,0.6023134948133191,1.0
1924-10-11,1924,0,0,FYJ,CIB,1432.143,1431.44,3,3,0.6519111947192512,0.5
1924-10-12,1924,0,0,BFF,DAY,1554.403,1471.135,0,7,0.6181081778454829,0.0
1924-10-12,1924,0,0,CIB,AKR,1434.29,1482.693,29,14,0.3960721232330632,1.0
1924-10-12,1924,0,0,RCH,COL,1377.407,1455.646,7,15,0.49508817481449263,0.0
1924-10-12,1924,0,0,CHI,RAC,1587.829,1482.322,10,10,0.5360312387160053,0.5
1924-10-12,1924,0,0,ARI,MNN,1565.015,1423.647,13,0,0.6346465192057571,1.0
1924-10-12,1924,0,0,MIL,KEN,1505.984,1285.887,21,0,0.7549045806969592,1.0
1924-10-12,1924,0,0,GB,KCB,1509.81,1295.615,16,0,0.7721035859590711,1.0
1924-10-12,1924,0,0,RII,HAM,1521.846,1413.563,26,0,0.6813797832723493,1.0
1924-10-18,1924,0,0,FYJ,COL,1429.293,1476.655,23,7,0.47930065911612707,1.0
1924-10-19,1924,0,0,RII,DAY,1538.31,1502.409,20,0,0.5663401511319648,1.0
1924-10-19,1924,0,0,RAC,KCB,1489.258,1287.219,13,3,0.8243280849410118,1.0
1924-10-19,1924,0,0,GB,MIL,1518.207,1514.867,17,0,0.6120931136182862,1.0
1924-10-19,1924,0,0,BFF,RCH,1523.129,1356.398,26,0,0.7007873039933744,1.0
1924-10-19,1924,0,0,KEN,HAM,1277.005,1397.1,6,6,0.40808195436372047,0.5
1924-10-19,1924,0,0,CHI,ARI,1580.894,1576.289,6,0,0.49171573002294494,1.0
1924-10-26,1924,0,0,DUL,KEN,1448.967,1279.403,32,0,0.7355458450369468,1.0
1924-10-26,1924,0,0,GB,MNN,1540.796,1412.373,19,0,0.6299790041270359,1.0
1924-10-26,1924,0,0,CIB,RCH,1460.495,1343.964,59,0,0.6405006798451798,1.0
1924-10-26,1924,0,0,KCB,RII,1279.652,1559.196,23,7,0.23779683776622806,1.0
1924-10-26,1924,0,0,BFF,AKR,1535.564,1456.488,17,13,0.613063600341754,1.0
1924-10-26,1924,0,0,ARI,HAM,1561.155,1394.702,3,6,0.7240736625265047,0.0
1924-10-26,1924,0,0,MIL,RAC,1492.278,1496.825,0,10,0.46209862391242507,0.0
1924-10-26,1924,0,0,DAY,COL,1481.523,1449.974,6,17,0.6056674319869034,0.0
1924-10-26,1924,0,0,CHI,FYJ,1596.027,1455.974,33,3,0.6014469883832598,1.0
1924-11-01,1924,0,0,FYJ,AKR,1441.211,1447.311,23,0,0.5267353512392596,1.0
1924-11-02,1924,0,0,MNN,DUL,1398.758,1461.974,0,6,0.599755519318036,0.0
1924-11-02,1924,0,0,CIB,DAY,1480.177,1448.491,35,0,0.5704968538052408,1.0
1924-11-02,1924,0,0,COL,AKR,1483.006,1421.557,30,0,0.6641448086612145,1.0
1924-11-02,1924,0,0,KCB,HAM,1328.293,1419.219,0,6,0.45101709550467695,0.0
1924-11-02,1924,0,0,CHI,RII,1610.789,1510.555,3,3,0.6063113694431485,0.5
1924-11-02,1924,0,0,GB,RAC,1554.411,1525.729,6,3,0.5541867527873451,1.0
1924-11-02,1924,0,0,ARI,MIL,1536.638,1463.374,8,17,0.6949093292541755,0.0
1924-11-02,1924,0,0,BFF,FYJ,1544.741,1466.966,0,24,0.6572320785167615,0.0
1924-11-08,1924,0,0,FYJ,KCB,1514.788,1310.493,42,7,0.8211106939262925,1.0
1924-11-09,1924,0,0,ARI,DAY,1502.776,1423.478,23,0,0.6003839689516598,1.0
1924-11-09,1924,0,0,GB,DUL,1564.207,1481.549,13,0,0.6858517529873916,1.0
1924-11-09,1924,0,0,BFF,KEN,1496.919,1266.396,27,0,0.8319661068262788,1.0
1924-11-09,1924,0,0,AKR,CIB,1400.406,1505.19,7,20,0.4970606832893305,0.0
1924-11-09,1924,0,0,CHI,COL,1604.039,1504.156,12,6,0.5417347060729455,1.0
